Κωδικός;Όνομα;ΑΦΜ;Υπόλοιπο;Χώρα;Καθεστώς Φ.Π.Α.;Λογ. Κατηγορία;Όνομα - Επάγγελμα;Χρέωση;Πίστωση;Τζίρος
ΠΕΛΑ-00000128;Luxury Fine Living Ltd;214012670;18.228,63;United Kingdom;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;;18.228,63;0,00;0,00
ΠΕΛΑ-00000129;LA FILLE DE ZORBA;813344975;0,00;France;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000130;The Mindful Drinking Club;344342315;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;Λιανικο εμπόριο;0,00;0,00;0,00
ΠΕΛΑ-00000131;BELLE OLIO;0685595505;0,00;Belgium;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;Λιανικο εμπόριο;0,00;0,00;0,00
ΠΕΛΑ-00000132;MEATH STORES;3997014C;0,00;Ireland;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;Λιανικο εμπόριο;0,00;0,00;0,00
ΠΕΛΑ-00000133;ESTELLE MANOR;292473088;0,00;United Kingdom;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;ΞΕΝ. ΤΟΥΡ. ΕΠΙΧΕΙΡΗΣΕΙΣ;0,00;0,00;0,00
ΠΕΛΑ-00000134;ΧΟΥΡΙ ΦΙΛΙΠΠΟΣ ΝΑΜΠΙΛ / FORGET ME NOT;059777167;108,48;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;;108,48;0,00;0,00
ΠΕΛΑ-00000135;LOU CONCEPT STORE;0504909447;0,00;Belgium;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000136;HACKNEY LIFE LTD;373449964;0,00;United Kingdom;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;ΕΜΠΟΡΙΟ ΤΡΟΦΙΜΩΝ;0,00;0,00;0,00
ΠΕΛΑ-00000137;Retail Customer SE;000000000;0,00;Sweden;OSS Sweden;Πελάτες λιανικής OSS;;437,66;437,66;358,91
ΠΕΛΑ-00000138;POSTER E.E;801735089;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;ΕΣΤΙΑΤΟΡΙΟ;65,54;65,54;0,00
ΠΕΛΑ-00000139;NOVISORS Α Ε;801370987;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;;0,00;0,00;0,00
ΠΕΛΑ-00000141;Retail Customer DK;000000000;0,00;Denmark;OSS Denmark;Πελάτες λιανικής OSS;;417,52;417,52;304,16
ΠΕΛΑ-00000142;ΛΑΠΠΑ ΜΑΡΙΑΛΕΝΑ;160009253;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000144;ΤΖΟΥΜΑΣ ΘΕΟΔΩΡΟΣ ΠΑΡΑΣΧΟΣ;126751716;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;Υπηρεσίες παροχής γευμάτων από εστιατόριο;402,60;402,60;120,00
ΠΕΛΑ-00000145;Faire Wholesale;862511550B01;5.472,01;Netherlands;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;5.589,94;117,93;17.669,81
ΠΕΛΑ-00000146;PICKY Ι Κ Ε;801612145;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;;0,00;0,00;0,00
ΠΕΛΑ-00000147;Panzer&Turina GbR;349914923;-513,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;513,00;0,00
ΠΕΛΑ-00000148;CHAT NOIR;100979555;0,00;Switzerland;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;;0,00;0,00;0,00
ΠΕΛΑ-00000149;DIE HALLE Family Concept Store & Café;348522238;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;Λιανικό εμπόριο;0,00;0,00;0,00
ΠΕΛΑ-00000150;Westerkaatje Caterer;821016945B01;-291,01;Netherlands;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;648,30;939,31;566,16
ΠΕΛΑ-00000151;&Open Gifts;81-1967258;0,00;United States of America;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000152;Retail Customer FL;000000000;0,00;Finland;OSS Finland;Πελάτες λιανικής OSS;;283,33;283,33;249,63
ΠΕΛΑ-00000153;HET FAIRE OOSTEN;856455015B01;908,75;Netherlands;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;908,75;0,00;0,00
ΠΕΛΑ-00000154;&Open Gifts Ltd;IE3463183BH;0,00;Ireland;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;2.880,80;2.880,80;2.620,80
ΠΕΛΑ-00000155;Retail customer LV;000000000;0,00;LATVIA;OSS LATVIA;Πελάτες λιανικής OSS;;0,00;0,00;0,00
ΠΕΛΑ-00000156;DE DRUKKERIJ B.V.;811395224B01;0,00;Netherlands;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;0,00;0,00;0,00
ΠΕΛΑ-00000157;Kaufhaus Mitte UG;815703880;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000158;ELOUNDA BLU ΞΕΝΟΔΟΧΕΙΑΚΕΣ ΕΠΙΧΕΙΡΗΣΕΙΣ ΜΟΝΟΠΡΟΣΩΠΗ ΑΕ;094122771;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;;0,00;0,00;0,00
ΠΕΛΑ-00000159;ΔΟΜΕΣ ΚΕΡΚΥΡΑΣ ΑΝΩΝΥΜΗ ΤΟΥΡΙΣΤΙΚΗ ΞΕΝΟΔΟΧΕΙΑΚΗ ΚΑΙ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΙΑ;800965045;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;;0,00;0,00;0,00
ΠΕΛΑ-00000160;Bubi S.A.S. Di Pessina Marco E C.;04639830167;0,00;Italy;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000161;Piggy's Kadoshop;001526267B34;0,00;Netherlands;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;0,00;0,00;0,00
ΠΕΛΑ-00000162;Strømbergs Nordic Style;128505624;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000164;NU MO ΞΕΝΟΔΟΧΕΙΑΚΗ ΚΑΙ ΤΟΥΡΙΣΤΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ;801495679;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;ΞΕΝ. ΤΟΥΡ. ΕΠΙΧΕΙΡΗΣΕΙΣ;0,00;0,00;0,00
ΠΕΛΑ-00000165;LAST by 20thdesigns;38433062Q;0,00;Spain;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000166;Morten Bjunes;41876069;0,00;Denmark;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000167;Tipi Conceptstore;297932205;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000168;ΚΩΤΗ ΚΡ ΓΟΓΑΛΗΣ Ι Ε Ε;800620307;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;Τελειοποίηση (φινίρισμα) υφαντουργικών προϊόντων;0,00;0,00;0,00
ΠΕΛΑ-00000169;Arken, Museum for moderne kunst;17837605;0,00;Denmark;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000170;Α ΣΑΡΑΝΤΗΣ ΚΑΙ ΣΙΑ ΕΕ;082856044;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;;0,00;0,00;0,00
ΠΕΛΑ-00000171;Kleine Schwester;296199314;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000172;Montpellier Café Solo;345295589905;0,00;France;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000173;Retail Customer AU;00000000;0,00;Australia;Κανονικό Καθεστώς;Πελάτες εξωτερικού ΤΧ;;0,00;0,00;0,00
ΠΕΛΑ-00000175;nicenicenice;282251130;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000176;Quartier172;347061015;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;368,82;368,82;304,30
ΠΕΛΑ-00000178;ΑΚΤΗ ΞΕΝΟΔΟΧΕΙΑΚΕΣ ΤΟΥΡΙΣΤΙΚΕΣ ΕΠΙΧΕΙΡΗΣΕΙΣ ΑΕ;099771606;740,64;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;ΞΕΝ. ΤΟΥΡ. ΕΠΙΧΕΙΡΗΣΕΙΣ;1.325,31;584,67;635,40
ΠΕΛΑ-00000180;BAZAR;69812997856;0,00;France;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000181;esistfreitag Kreativagentur;274861788;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000183;Dhondt;0865787950;0,00;Belgium;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000186;Retail Customer HU;00000000;0,00;Hungary;OSS Hungary;Πελάτες λιανικής OSS;;166,44;166,44;135,66
ΠΕΛΑ-00000187;Blossom and Bloom Trading;159476;-68,70;Qatar;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;ΕΜΠΟΡΙΟ;0,00;68,70;0,00
ΠΕΛΑ-00000188;HEJ Store;815443095;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000190;EFB Network s.r.o.;05748208;0,00;Czech Republic;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000191;Retail Customer NOR;00000000;0,00;Norway;OSS Norway;Πελάτες λιανικής OSS;;0,00;0,00;0,00
ΠΕΛΑ-00000192;SB Trading;892 523 592;0,00;Norway;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000193;Bishop Store Enterprises;100042900;0,00;Belize;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000194;Poststrasse 22;CHE-429.081.961;0,00;Switzerland;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000195;Fotografiska Berlin GmbH;328976440;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000196;Retail Customer CA;000000000;0,00;Canada;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;;0,00;0,00;0,00
ΠΕΛΑ-00000197;ΒΑΓΚΟΠΟΥΛΟΣ ΔΕΔΟΥΣΗΣ ΚΙΟΥΛΤΣΙΤΣΕΚΟΓΛΟΥ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ;095385243;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;;0,00;0,00;0,00
ΠΕΛΑ-00000200;VIELFACH;327639189;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000201;Metzgerzehn;272535799;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000202;Retail customer IT;000000000;0,00;Italy;OSS Italy;Πελάτες λιανικής OSS;;744,24;744,24;649,60
ΠΕΛΑ-00000205;Fox house Casa guilla;Y4076463-a;0,00;Spain;Κανονικό Καθεστώς;Πελάτες λιανικής OSS;ΕΜΠΟΡΙΟ ΤΟΥΡΙΣΤΙΚΩΝ ΕΙΔΩΝ;0,00;0,00;0,00
ΠΕΛΑ-00000206;Vegshelf UG (haftungsbeschränkt);328398511;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000207;The Collectie Agenturen B.V.;58094814;0,00;Netherlands;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000208;Things We Like;316515916;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;1.177,70;1.177,70;726,87
ΠΕΛΑ-00000209;Super Nice;275350923;428,69;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;1.349,13;920,44;1.207,66
ΠΕΛΑ-00000210;Retail Customer GE - &OPEN;000000000;0,00;Germany;OSS Germany;Πελάτες λιανικής OSS;;0,00;0,00;0,00
ΠΕΛΑ-00000211;Retail Customer IRL - &OPEN;00000000;0,00;Ireland;OSS Ireland;Πελάτες λιανικής OSS;;0,00;0,00;0,00
ΠΕΛΑ-00000212;FID SRLS;02878710355;0,00;Italy;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000215;Retail Customer NE - &OPEN;000000000;0,00;Netherlands;OSS Netherlands;Πελάτες λιανικής OSS;;0,00;0,00;0,00
ΠΕΛΑ-00000218;La fille de zorba;34813344975;0,00;France;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000219;Hedwig;815298512;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000220;Trautmann GmbH;318280982;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000221;Walbar SARL;29842912;0,00;Luxembourg;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000223;Unser Onkel Store;288801056;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000224;BALLONI GmbH;122794978;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000225;ENTEN Ο Ε;801632224;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;Χονδρικό εμπόριο ειδών δώρων;0,00;0,00;0,00
ΠΕΛΑ-00000226;Retail Customer GR - &OPEN;000000000;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες λιανικής;;0,00;0,00;0,00
ΠΕΛΑ-00000227;Wora Dieter und Eveline Textilhandels OHG;193194267;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000228;Bücher und mehr;U80011906;0,00;Austria;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000229;Present & Paper;295867796;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;612,06;612,06;320,45
ΠΕΛΑ-00000230;Strauchdieb;300006868;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000231;Dakabo Interior design;269131431;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000232;Retail Customer RO;000000000;0,00;Romania;OSS Romania;Πελάτες λιανικής OSS;;0,00;0,00;0,00
ΠΕΛΑ-00000233;Retail Customer PO - &OPEN;000000000;0,00;Poland;OSS Poland;Πελάτες λιανικής OSS;;0,00;0,00;0,00
ΠΕΛΑ-00000234;Amante del vino Ltd;10404558S;0,00;Cyprus;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000235;Petitetilda;347068919;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000236;Retail customer HR;000000000;0,00;Croatia;OSS Croatia;Πελάτες λιανικής OSS;;261,30;261,30;248,86
ΠΕΛΑ-00000237;Enoteca Buca di Bacco;03032380309;0,00;Italy;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000238;Le Petit Magasin;06352628366;0,00;France;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000239;Marcy La petite epicerie en Provence LTD;93378710;0,00;Taiwan;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000240;Retail Customer SP - &OPEN;000000000;0,00;Spain;OSS Spain;Πελάτες λιανικής OSS;;0,00;0,00;0,00
ΠΕΛΑ-00000241;Kohi;363722663;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000242;Sfragidopoulos Georgios;357304765;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000243;Wallraf GmbH;292917237;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000244;C&L partners Gmbh;352236985;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000245;ADAR;65898361670;0,00;France;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000246;Johanna & Lisa Inredning & Design i Kiruna AB;556970803401;-240,00;Sweden;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;240,00;0,00
ΠΕΛΑ-00000247;WILLA Berlin;262799112;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;439,20;439,20;0,00
ΠΕΛΑ-00000248;Philia Store UG;365403608;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;1.275,08;1.275,08;1.134,41
ΠΕΛΑ-00000249;Rose in april;80751532193;0,00;France;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000250;MalinaStories e.K.;316689405;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000252;HEESUN;9512589839;0,00;Poland;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000253;Vignes et Vins;13489356626;0,00;France;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000254;Retail Customer LT;;0,00;Lithuania;OSS Lithuania;Πελάτες λιανικής OSS;;0,00;0,00;0,00
ΠΕΛΑ-00000256;ΤΕΙΜ BLUE GR ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ;094014077;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;ΞΕΝ. ΤΟΥΡ. ΕΠΙΧΕΙΡΗΣΕΙΣ;0,00;0,00;0,00
ΠΕΛΑ-00000258;heißeliebe;341229807;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000259;A FUTURE PERFECT ΕΤΕΡΟΡΡΥΘΜΗ ΕΤΑΙΡΕΙΑ;801904500;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;;0,00;0,00;0,00
ΠΕΛΑ-00000261;Retail Customer BE - &OPEN;;0,00;Belgium;OSS Belgium;Πελάτες λιανικής OSS;;0,00;0,00;0,00
ΠΕΛΑ-00000262;Retail Customer AUS - &OPEN;000000000;0,00;Austria;OSS Austria;Πελάτες λιανικής OSS;;0,00;0,00;0,00
ΠΕΛΑ-00000263;Superjuju;815151408;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000264;UP TO DO GOOD BV;860343753B01;0,00;Netherlands;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000266;ΧΡΙΣΤΙΝΑ ΛΥΔΙΑ ΣΠΥΡΑΤΟΥ  ΣΙΑ ΕΕ;801142721;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;;0,00;0,00;0,00
ΠΕΛΑ-00000267;G DESIGN STUDIO Ι Κ Ε;801651263;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;;0,00;0,00;0,00
ΠΕΛΑ-00000268;Retail Customer PR - &OPEN;000000000;0,00;Portugal;OSS Portugal;Πελάτες λιανικής OSS;;0,00;0,00;0,00
ΠΕΛΑ-00000269;ALLERHAND I clalue;339730932;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000270;Rosalinde Homestories;318411789;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;431,97;431,97;369,07
ΠΕΛΑ-00000271;Hallesches Haus GmbH;297193278;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000272;MERCI;48504330754;0,00;France;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000273;ΑΝΤΟΥΡΑΚΗΣ ΜΑΡΚΟΣ ΒΑΣΙΛΕΙΟΣ;100051771;-36,59;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;ΕΜΠΟΡΙΟ;0,00;36,59;0,00
ΠΕΛΑ-00000274;ΜΠΑΡΜΠΑΛΙΑΣ ΓΕΩΡΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ;115127871;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;ΕΜΠΟΡΙΟ ΤΟΥΡΙΣΤΙΚΩΝ ΕΙΔΩΝ;347,08;347,08;0,00
ΠΕΛΑ-00000275;ΒΙΝΟ ΚΟΝΣΕΠΤ Ο Ε;802447944;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;;431,45;431,45;0,00
ΠΕΛΑ-00000276;IMPERIA GmbH;369982946;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000278;HET OLIJFLAB;003590667B08;0,10;Netherlands;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;12.318,50;12.318,40;9.155,70
ΠΕΛΑ-00000281;Frau Bauch;815724632;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000282;ΕΛΛΗΝΙΚΟ ΦΕΣΤΙΒΑΛ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ;094537130;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;ΔΙΟΡΓΑΝΩΣΗ ΚΑΛΛΙΤΕΧΝΙΚΩΝ ΕΚΔΗΛΩΣΕΩΝ;0,00;0,00;0,00
ΠΕΛΑ-00000283;ΦΕΣΤΙΒΑΛ ΑΘΗΝΩΝ ΕΠΙΔΑΥΡΟΥ;996494555;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;;0,00;0,00;0,00
ΠΕΛΑ-00000285;WOHNGESCHWISTER OTTENSEN;300254400;-38,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;853,42;891,42;791,90
ΠΕΛΑ-00000286;herzla Laden;815396755;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000288;Trentotto;48504706144;739,08;France;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;2.056,51;1.317,43;1.302,00
